term,frequency,associated_entries,entry_types
Cesarean section,3,Induction of labor; Placenta previa; Placental abruption,Disease/Condition
Cholangitis,3,Echinococcosis; taken.; esophagus and stomach,Disease/Disorder; Disease/Condition
Colonoscopy,3,Barium enema; Colitis; Sigmoidoscopy,Disease/Condition; Surgical Procedure
Conjunctiva,3,Eye muscle surgery; Foreign objects; Tularemia,Disease/Condition; Surgical Procedure
Conjunctivitis,3,Adenovirus infections; Sore throat; Trachoma,Disease/Disorder; Disease/Condition
Coronary artery disease,3,Congestive heart failure; Heart transplantation; Ischemia,Disease/Disorder; Disease/Condition
Cortisone,3,"Ganglion; August 6, 2013).; 2001): 909–932.",Disease/Condition
Crown,3,Dental trauma; Dental x rays; Teething,Disease/Condition
Debridement,3,Bites and stings; Flesh-eating disease; Wound care,Disease/Disorder; Disease/Condition
Diabetes,3,Adrenal gland cancer; Dehydration; Senior nutrition,Cancer/Oncological; Disease/Condition; Nutrition/Diet
Diaphragm,3,Chest x ray; Emphysema; Heimlich maneuver,Disease/Condition
Diphtheria,3,Croup; Diphtheria; Throat culture,Disease/Condition
Diuretics,3,causes edema in tissue spaces.; Polycystic kidney disease; Subdural hematoma,Disease/Disorder; Disease/Condition
Diverticulosis,3,Antigas agents; Barium enema; Senior nutrition,Nutrition/Diet; Disease/Condition
Duodenum,3,Enterostomy; Tube feedings; Vagotomy,Disease/Condition; Surgical Procedure
Dysphagia,3,Esophageal function tests; Esophageal pouches; Upper GI exam,Diagnostic Test; Disease/Condition
Dysplasia,3,Colposcopy; Laryngeal cancer; Pap test,Diagnostic Test; Cancer/Oncological; Surgical Procedure
Electromyography,3,Paralysis; Sciatica; Shortness of breath,Disease/Disorder; Disease/Condition
Emphysema,3,Benzodiazepines; Bronchitis; Men’s health,Disease/Condition
Encephalitis,3,Japanese encephalitis; Lumbar puncture; Nipah,Disease/Condition
Encephalopathy,3,Liver encephalopathy; Reye syndrome; Whooping cough,Disease/Disorder; Disease/Condition
End,3,Death and dying; Fibrosis; Heart transplantation,Disease/Condition
Endometrium,3,Endometriosis; Postmenopausal bleeding; Transvaginal ultrasound,Diagnostic Test; Disease/Condition
Endorphins,3,Bioelectric therapy; Methadone; Pet therapy,Drug/Medication; Alternative Therapy; Disease/Condition
Eustachian tube,3,Common cold; Myringotomy and ear tubes; Perforated eardrum,Disease/Condition; Surgical Procedure
